sigla_da_torre;nome_da_torre;detentora;endereco;lat;lon;capacitado
LVU;LINHA VERMELHA CAJU;PESQUISANDO;VIA B-3 RUA SILVA, FUNDOS N° 3 SOBRADO;-22.86792;-43.23365;NÃO
LWS;LOJA WEST SHOPPING;PESQUISANDO;ESTRADA DO MENDANHA, Nº 555 - SUC Nº 158-E/F - WEST SHOPPING RIO - CAMPO GRANDE - RJ;00.0000;00.0000;NÃO
LWW;JULIO DE NORONHA;TELXIUS;RUA GUSTAVO SAMPAIO, 172;-22.96179;-43.167176;NÃO
LXV;BELFORD ROXO - LOTE XV;SP TORRES,SP TORRES (ANTIGA);RUA GUARUJÁ, CAMPO SOCYTE DO QUINZÃO;-22.713579;-43.324941;SIM
LZC;LUIZ DE CAMÕES;PESQUISANDO;PESQUISANDO;-22.692653;-43.543994;NÃO
LZV;RUA LUIZA VALE;AMERICAN TOWER;RUA LUIZA VALE, 171;-22.88232;-43.26956;NÃO
M03;TUNEL DA COVANCA 1 ;PESQUISANDO;TÚNEL DA COVANCA,;-22.9183;-43.325519;NÃO
M05;CONDOMINIO PEDRA DO CONDE;PESQUISANDO;AVENIDA NIEMEYER, 179 - LEBON;-22.994389;-43.234833;NÃO
M08;TUNEL DOIS IRMAOS 1 ;PESQUISANDO;TUNEL DOIS IRMÃOS 1 - LADO SÃO CONRADO,;-22.991939;-43.249219;NÃO
M10;EPITACIO PESSOA 2;PESQUISANDO;RUA ALBERTO CAMPOS, 242;-22.9805;-43.206472;NÃO
M16;MICHELIN 2;PESQUISANDO;ESTRADA ESTRADA DA CACHAMORRA Nº 500,;-22.95025;-43.568939;NÃO
M19;PRAÇA IATE CLUBE;PESQUISANDO;PRACA IATE CLUBE, S/N°;-22.811861;-43.208331;NÃO
M21;PRAÇA SAENS PENA 1;PESQUISANDO;RUA CARLOS DE VASCONCELOS 155 - TIJUCA,;-22.923469;-43.231689;NÃO
M28;RIO DE JANEIRO - MAPFRE SEGUROS BOULEVARD 28;PESQUISANDO;BOULEVARD VINTE E OITO DE SETEMBRO, 3;-22.913622;-43.235108;NÃO
M2C;RIO DE JANEIRO - ESTAÇÃO METRÔ CARIOCA - CO SITE;PESQUISANDO;RUA REPÚBLICA DO CHILE, ESTAÇÃO METRÔ CARIOCA;-22.906306;-43.178139;NÃO
M2X;RIO DE JANEIRO - RUA MÉXICO - CO SITE;PESQUISANDO;RUA MÉXICO,148 SALA 601;-22.906833;-43.175336;NÃO
M4U;RIO DE JANEIRO M4U;PESQUISANDO;RUA MARTINS FERREIRA 91;-22.954961;-43.194619;NÃO
MAA;MARIO DE ALENCAR;PESQUISANDO;SITE EM BUSCA;00.0000;00.0000;NÃO
MAB;MARE AVENIDA BRASIL;PESQUISANDO;RUA SETE DE MARÇO, 331;-22.857462;-43.246901;NÃO
MAC;ESTAÇÃO METRO CARDEAL ARCO VERDE;PESQUISANDO;RUA PRAÇA CARDEAL ARCO VERDE, S/Nº;-22.964528;-43.180564;NÃO
MAD;MADUREIRA;BR TOWERS (ANTIGA),TELEMAR;RUA PADRE TELÊMACO, Nº 97;-22.884331;-43.331869;NÃO
MAE;MARE;ALFA ERB (BTS);RUA BITTENCOURT SAMPAIO, 147;-22.853611;-43.247011;NÃO
MAG;RIO DE JANEIRO - MIGUEL ANGELO;BR TOWERS,BR TOWERS (ANTIGA);RUA MIGUEL ÂNGELO;-22.883764;-43.260815;NÃO
MAH;RIO DE JANEIRO - MUSEU DO AMANHA;PESQUISANDO;PRACA MAUÁ, 1;-22.893953;-43.179368;NÃO
MAI;NITEROI - MACEIO NITEROI;SBA TORRES BRASIL;ESTRADA PACHECO DE CARVALHO, 35;-22.918;-43.065;SIM
MAK;MAKRO COLUBANDE;AMERICAN TOWER;RUA MADAME SARA, 5;-22.839198;-43.013476;NÃO
MAL;CABO FRIO - MALIBU;PESQUISANDO;AVENIDA DO CONTORNO X AVENIDA NILO PEÇANHA;-22.882869;-42.013733;NÃO
MAM;MAM VIVO RIO;PESQUISANDO;AVENIDA INFANTE DOM HENRIQUE, 85 - PARQUE DO FLAMENGO - TEATRO DO MAM;-22.913157;-43.171405;NÃO
MAN;MANIVA;SBA TORRES BRASIL;"FAZENDA VALÃO - 4º DIS.DE S.F. (ENTR. P/ NOVA BELEM, ESQ. C/ ROD.SIMÃO MANSUR), PONTO CACIMBAS; CE";-21.397055;-41.140434;NÃO
MAO;MINISTRO AFRANIO COSTA;AMERICAN TOWER;AVENIDA DAS AMÉRICAS, 1917;-23.001;-43.33608;NÃO
MAP;RIO DE JANEIRO - MARAPENDI;BR TOWERS (ANTIGA);RUA ZOILA ABREU TEIXEIRA, EDIFÍCIO ZURIK CONDOMÍNIO MARAPENDI;-23.003556;-43.358833;NÃO
MAR;RIO DE JANEIRO - MARACANA;BR TOWERS,BR TOWERS (ANTIGA),TELEMAR;RUA GENERAL CANABARRO, 225;-22.914261;-43.226719;NÃO
MAS;MANGARATIBA PRAIA DO SACO;PESQUISANDO;ESTRADA SÃO JOÃO MARCOS, S/Nº - LOTE 6;-22.94913;-44.03925;NÃO
MAT;ESTRADA DA MATRIZ;SP TORRES (ANTIGA);ESTRADA DA MATRIZ;-22.99375;-43.601281;SIM
MAU;MAUA;SP TORRES (ANTIGA);AVENIDA A LOTE 21, 135;-22.674298;-43.163264;NÃO
MAV;MONTE ALVERNE;NEXTEL;RUA MONTE ALVERNE, 75;-22.869989;-43.105167;NÃO
MAX;MAX YANTOK;SP TORRES (ANTIGA);RUA QUATIS, LOTE 41, QUADRA 3;-22.792185;-43.183289;SIM
MAZ;MAR AZUL;TELXIUS;RUA GENERAL CRISTÓVÃO BARCELOS (ESQUINA C/ RUA ACÚRCIO TORRES);-22.951833;-43.097194;NÃO
MBB;MANANCIAL DO BILAC BAZAR;PESQUISANDO;RUA ENGENHEIRO EDMUNDO RÉGIS BITTENCOURT, 63;-22.837183;-43.264786;NÃO
MBC;MAMBUCABA;TELXIUS;RUA SANTA CATARINA S/N° - VILA RESIDENCIAL DE MAMBUCABA,;-23.03275;-44.547411;NÃO
MBF;MORRO DO BONFIM;SBA TORRES BRASIL;ESTRADA TRONCO DO NORTE FLUMINENSE, 789;-22.882089;-43.072303;NÃO
MBG;MACAÉ - BAIRRO GLÓRIA;CENTENNIAL (BTS);RUA RODOLPHO DAVID GOMES, 440;-22.398657;-41.808264;SIM
MBL;MACAÉ - BELA VISTA;QMC TELECOM (BTS);RUA ORLANDO TARDELLI, 553;-22.381862;-41.789116;NÃO
MBM;MARICA - BARRA DE MARICA;TELXIUS;RUA JERONYMO MARQUES MONTEIRO;-22.9583;-42.825297;NÃO
MBO;MUNIZ BARRETO;PESQUISANDO;RUA MARQUES DE OLINDA, 38 - COBERTURA;-22.943506;-43.183392;NÃO
MBP;METALURGICA BARRA DO PIRAI;PESQUISANDO;ESTRADA BARRA DO PIRAÍ, 3380 - VARGEM ALEGRE;-22.473083;-43.853306;NÃO
MBR;MOURA BRASIL;SP TORRES (ANTIGA);RUA ARAÚJO RANGEL, LOTE 12 - QUADRA 9;-22.129911;-43.152964;NÃO
MBS;MEGASTORE BARRASHOPPING - MBS;PESQUISANDO;AVENIDA DAS AMERICAS, 4660 - BARRA SHOPPING - LOJA 115A;-22.997889;-43.352278;NÃO
MBT;RIO DE JANEIRO - MAGALHAES BASTOS;TELXIUS;RUA SIDNEY, 146;-22.873572;-43.455694;SIM
MC2;RIO DE JANEIRO - ESTAÇÃO METRÔ CANTAGALO - CO SITE;PESQUISANDO;RUA MIGUEL LEMOS;-22.977417;-43.19425;NÃO
MCA;MARICA;PESQUISANDO;RUA ALVARES DE CASTRO, 22;-22.919222;-42.817583;NÃO
MCB;MIGUEL COUTO BELFORD ROXO;PESQUISANDO;RUA APARÍCIO BORGES, Nº 28;-22.72443;-43.42101;SIM
MCC;MACUCO;SP TORRES (ANTIGA),TELEMAR;RUA CHAFI ZARIF, 2;-21.988141;-42.252194;NÃO
MCD;RESENDE - MORRO DO MACHADO;PESQUISANDO;RUA DA CAIXA D'ÁGUA, PRÓXIMO A ESTAÇÃO DE TRATAMENTO DE ÁGUA AGULHAS NEGRAS;-22.473972;-44.443753;NÃO
MCE;MACAÉ - CIDADE;TELEMAR;RUA JORNALISTA CARLOS LACERDA, S/N;-22.376189;-41.791881;NÃO
MCF;CABO FRIO - MAR DE CABO FRIO;PESQUISANDO;PRAÇA CRISTOVÃO COLOMBO, S/N;-22.885567;-42.019092;NÃO
MCG;TRES RIOS - MORRO CANTAGALO;AMERICAN TOWER;RUA JOSÉ AUGUSTO DE CARVALHOX, S/Nº;-22.110093;-43.214113;SIM
MCH;MICHELIN CAMPO GRANDE;SP TORRES (ANTIGA);ESTRADA DA CACHOMARRA, 2011;-22.951232;-43.568732;NÃO
MCL;MORRO DO CARACOL;BR TOWERS,BR TOWERS (ANTIGA);RUA JOSE MARIA, 62;-22.84331;-43.28494;NÃO
MCM;MIRACEMA;BR TOWERS,BR TOWERS (ANTIGA),TELEMAR;RUA CORONEL JOSINO, 69;-21.414887;-42.198443;SIM
MCN;RIO DE JANEIRO - ESTAÇÃO METRÔ CANTAGALO;OPORTRANS;RUA MIGUEL LEMOS, S/N;-22.976703;-43.193859;NÃO
MCO;MORRO DO COCO;PESQUISANDO;RUA NOSSA SENHORA DA PENHA,;-21.376111;-41.343769;NÃO
MCP;MARAMBAIA  CASA DO PRESIDENTE;PESQUISANDO;AVENIDA 7 DE MARÇO, 1;-23.05925;-43.983131;NÃO
MCQ;VOLTA REDONDA - MORRO DA CONQUISTA;TELXIUS;RUA MOTORISTA JOSÉ DE ARAUJO, 500;-22.488403;-44.083039;NÃO
MCR;RIO DE JANEIRO - ESTAÇÃO METRÔ CARIOCA;PESQUISANDO;RUA REPÚBLICA DO CHILE, ESTAÇÃO METRÔ CARIOCA;-22.907519;-43.1789;NÃO
MCS;SAO GONÇALO - MORRO DO CASTRO;SBA TORRES BRASIL;RUA TEIXEIRA DE FREITAS, 76;-22.8687;-43.0698;NÃO
MCT;MIGUEL COUTO;TELXIUS;RUA MIGUEL PEREIRA, S/Nº;-22.701769;-43.427689;NÃO
MCU;MACAÉ - CONDE DE ARARUAMA;BR TOWERS (ANTIGA);RUA VELHO CAMPOS, 420;-22.373218;-41.782251;NÃO
MCZ;MACAE - II;AMERICAN TOWER;RUA DR. TÉLIO BARRETO, 236;-22.369692;-41.779925;SIM
MDA;RESENDE - MORADA DA COLINA;PESQUISANDO;RUA WELLINGTON FERREIRA DE CASTRO, 37;-22.484433;-44.475333;NÃO
MDC;RIO DE JANEIRO - ESTAÇÃO METRO DEL CASTILHO;PESQUISANDO;AVENIDA AUTOMÓVEL CLUB, S/N;-22.879239;-43.271631;NÃO
MDE;MORRO DO ESTADO RIO CLARO ;PESQUISANDO;PESQUISANDO;-22.72414;-44.14468;NÃO
MDG;MORRO DO GUANDU;PESQUISANDO;ESTRADA DE FURNAS, S/N°;-22.8235;-43.522969;NÃO
MDJ;MORRO DO JOA;PESQUISANDO;ESTRADA DO JOA;-23.00965;-43.289347;NÃO
MDL;MANDALA;PESQUISANDO;ILHA DE CUNHAMBEBE MIRIM;-22.962139;-44.407;NÃO
MDM;MADAME MACHADO;T4U (ANTIGA),PHOENIX (ANTIGA),T4U;ESTRADA ITAIPAVA-TERESÓPLIS KM 5(AL.CONSTÂNCIA), 1186 - TORRE DA T4U NO BAIRRO DE MADAME MACHADO;-22.404774;-43.097139;SIM
MDN;MENDANHA;BR TOWERS,BR TOWERS (ANTIGA);ESTRADA ESTRADA DO MENDANHA, Nº 555;-22.884378;-43.557202;SIM
MDP;MORRO DOS PINHEIROS;TELXIUS;RUA REI ALBERTO LOTE EM FRENTE AO 277;-22.417279;-42.963149;SIM
MDS;MENDES;AMERICAN TOWER (RAN SHARING),AMERICAN TOWER;RUA ANTONIO CARDOSO, S/Nº;-22.525266;-43.736586;SIM
MDT;MANGARATIBA - MEDITERRANEE;AMERICAN TOWER;RODOVIA BR101, KM 445;-22.992152;-44.096516;NÃO
MDW;MENDES II;PESQUISANDO;RUA MODESTO LINS, S/N,;-22.52533;-43.71465;NÃO
MDZ;MORRO DO CRUZEIRO;PESQUISANDO;RUA SERRA DOS MASCATES, S/N;-22.240181;-43.700561;NÃO
MEB;MARIZ E BARROS;TELXIUS;RUA MARIZ E BARROS, 1146;-22.917799;-43.224283;NÃO
MEC;MACAÉ - CENTRO;TELXIUS;MORRO SANTA MONICA, PRÓXIMO A ESTAÇAO DA TELEMAR E DA EMBRATEL;-22.376057;-41.791316;NÃO
MED;CLUBE MEDITERRANEE;PESQUISANDO;RODOVIA RIO SANTOS KM 445, BR101;-22.995122;-44.097411;NÃO
MEF;DREW MARINE BRASIL FORNECEDORA DE PRODUTOS E SERVICOS LTDA;PESQUISANDO;AVENIDA PARIS, 00676;-22.865289;-43.248139;NÃO
MEI;MEIER;PESQUISANDO;RUA CÔNEGO TOBIAS, 112;-22.902469;-43.27925;NÃO
MER;RIO DE JANEIRO - MARACANA EURICO RABELO;BR TOWERS (ANTIGA);RUA CONSELHEIRO OLEGARIO, 35;-22.912951;-43.233429;NÃO
MES;MORAIS E SILVA;PESQUISANDO;SITE EM BUSCA;-22.913283;-43.222436;NÃO
MET;ESTAÇÃO METRO ESTÁCIO;PESQUISANDO;RUA JOAQUIM PALHARES, S/Nº;-22.91415;-43.207586;NÃO
MEU;AUTO VIAÇÃO 1001;PESQUISANDO;RJ-104, Nº 2401;-22.88097;-43.05873;NÃO
MEV;MIGUEL CERVANTES;PESQUISANDO;SITE EM BUSCA;-22.890525;-43.269486;NÃO
MEX;RIO DE JANEIRO - MEXICO;PESQUISANDO;RUA MEXICO, 148;-22.907924;-43.175442;NÃO
MFA;MARECHAL FLORIANO ACRE;TELXIUS;RUA LEANDRO MARTINS, 10;-22.900444;-43.182486;NÃO
MFB;MORRO DO FUBÁ;PESQUISANDO;EM BUSCA.;00.0000;00.0000;NÃO
MFT;NITEROI - MAESTRO FELÍCIO TOLEDO;PESQUISANDO;RUA MAESTRO FELICIO TOLEDO, 491;-22.892353;-43.121231;NÃO
MFX;RIO DE JANEIRO - MONSENHOR FELIX;BR TOWERS (ANTIGA);RUA ANHEMBI, AO LADO DO 135;-22.835735;-43.32216;SIM
MG1;MANGARATIBA - RJMGB_G1I01 - POP FIBRASIL;PESQUISANDO;ESTR. SÃO JOÃO MARCOS, 1796;-22.949333;-44.037136;NÃO
MG2;MANGARATIBA - RJMGB_G1I02 - POP FIBRASIL;PESQUISANDO;RODOVIA BR-101, KM 445,5;-22.992525;-44.097378;NÃO
MG3;MANGARATIBA - RJMGB_G1I03 - POP FIBRASIL;PESQUISANDO;RUA TENENTE WALDEMAR CUSTÓDIO DA SILVA, 400;-22.921489;-43.938744;NÃO
MGA;MARICÁ GATURANOS;AMERICAN TOWER (BTS);RUA UIRAPURUS S/N;-22.912755;-42.811108;NÃO
MGB;MANGARATIBA;TELXIUS;MORRO DE MANGARATIBA;-22.976629;-44.041218;NÃO
MGC;MAGÉ BAIRRO CORUMBÁ;PESQUISANDO;RUA MARIA VIAL CAMPOS, 395 A;-22.615424;-43.162131;NÃO
MGD;RIO DE JANEIRO - MAHATMA GANDHI;TELXIUS;AVENIDA RIO BRANCO, 257;-22.911585;-43.174867;NÃO
MGE;MAGE;AMERICAN TOWER;AVENIDA AYRTON SENNA;-22.663188;-43.039486;SIM
MGF;RIO DE JANEIRO - MIGUEL DE FRIAS;PESQUISANDO;RUA JOAQUIM PALHARES, 648;-22.911361;-43.212183;NÃO
MGI;MARINA DA GLORIA;PESQUISANDO;AVENIDA INFANTE DOM HENRIQUE, 735;-22.9201;-43.1699;NÃO
MGL;RIO DE JANEIRO - ESTAÇÃO METRÔ GLORIA;PESQUISANDO;RUA LARGO DA GLÓRIA, S/N;-22.921083;-43.177225;NÃO
MGM;BARRA DO PIRAÍ - MORRO DA GAMA;AMERICAN TOWER;TRAVESSA ALFREDO MANSUR, LOTE 4;-22.47883;-43.82806;SIM
MGN;MANGUINHOS;TELEMAR;RUA SIZENANDO NABUCO, Nº 115 - CONTAINER;-22.876481;-43.2514;NÃO
MGO;METRO GENERAL OSÓRIO;PESQUISANDO;SITE EM BUSCA;00.0000;00.0000;NÃO
MGP;MANGARATIBA PORTOFINO;PESQUISANDO;RODOVIA RIO SANTOS BR 101 KM 48.5;-22.97527;-44.08743;SIM
MGR;MAGE RADIO;TELEMAR;RUA PIEDADE E IRIRI;-22.662661;-43.03925;NÃO
MGS;SAO GONÇALO - MANUEL GONÇALVES MONTES;SBA TORRES BRASIL;RUA MANUEL GONÇALVES DO MONTE, 49;-22.887699;-42.989882;NÃO
MGT;RIO DE JANEIRO - LOJA MEGASTORE BARRASHOPPING;PESQUISANDO;AVENIDA DAS AMÉRICAS, 4666 LOJA B 115/101-A;-22.997611;-43.358136;NÃO
MGX;MAGÉ - RUA CHINA;PESQUISANDO;RUA CHINA, S/N;-22.600269;-43.072131;NÃO
MGY;MARIA GEYER;PESQUISANDO;RUA MARIA EUGÊNIA, 180;-22.954867;-43.203708;NÃO
MHA;MESQUITA CHATUBA;BR TOWERS (BTS);RUA MAGNO DE CARVALHO 1557;-22.804025;-43.436283;NÃO
MHB;MANILHA BANGU;PESQUISANDO;SITE EM BUSCA;-22.859497;-43.489375;NÃO
MHE;RIO DE JANEIRO - MARECHAL HERMES;BR TOWERS,BR TOWERS (ANTIGA);RUA JOÃO VICENTE, Nº 1775;-22.862739;-43.376839;SIM
MHF;MARECHAL FONTENELE;TBSA;Av. Marechal Fontenele, 145 - Campo dos Afonsos, Rio de Janeiro - RJ;-22.876731;-43.373839;NÃO
MHG;MARIALVA HIGIENÓPOLIS;PESQUISANDO;SITE EM BUSCA;-22.869458;-43.267378;NÃO
MHI;BELFORD ROXO MORRO DA HITERLÂNDIA;PESQUISANDO;PESQUISANDO;-22.74101;-43.38551;NÃO
MHM;ANGRA DOS REIS - MARINA HOTEL MELIÁ;TELXIUS;RODOVIA RIO SANTOS, KM 102 BR 101;-22.947694;-44.333092;NÃO
MHS;MARIO HENRIQUE SIMONS;BR TOWERS,BR TOWERS (ANTIGA);AV. DAS AMERICAS, 3434;-22.997408;-43.346569;NÃO
MHT;MARAMBAIA HOTEL DE TRANSITO;TELXIUS;ESTRADA DA SENZALA, S/N°;-23.059769;-43.983939;NÃO
MIA;MARINA MELIÁ ANGRA;QMC TELECOM ;RUA NOSSA SENHORA DE FÁTIMA, S/N;-22.946168;-44.330743;SIM
MIB;SÃO GONÇALO - MIRIAMBI;AMERICAN TOWER;RUA URUSSANGA, LOTE 37 QUADRA 50;-22.818289;-42.991069;NÃO
MIC;MICHELIN CITTA AMERICA;TELXIUS;AVENIDA DAS AMERICAS, 700;-23.001611;-43.318111;NÃO
