sigla_da_torre;nome_da_torre;detentora;endereco;lat;lon;capacitado
000;PONTE COBERTA;AMERICAN TOWER;RODOVIA PRESIDENTE DUTRA KM 218, 54750;-22.685944;-43.810291;NÃO
001;NITEROI - ESTRADA VELHA DE MARICA;AMERICAN TOWER;RUA ALVARO SEIXAS, S/N;-22.882467;-43.023422;NÃO
002;RIO DE JANEIRO - ATAULFO DE PAIVA;BR TOWERS,BR TOWERS (ANTIGA);AVENIDA ATAULFO DE PAIVA, 1079;-22.985347;-43.226042;NÃO
003;VINTE E QUATRO DE MAIO;BR TOWERS,BR TOWERS (ANTIGA);RUA VINTE E QUATRO DE MAIO, 859;-22.903775;-43.266093;NÃO
004;CHURRASCARIA CARRETAO;PESQUISANDO;RUA RONALDO DE CARVALHO, 55 - PÇDO LIDO22021020;-22.965472;-43.176389;NÃO
005;RESTAURANTE ALCAPARRA;PESQUISANDO;PRAIA DO FLAMENGO, 15022210-030;-22.929694;-43.174556;NÃO
006;FORTE SANTA CRUZ;PESQUISANDO;RUA GENERAL EURICO GASPAR DUTRA, S/N°;-22.937194;-43.13425;NÃO
007;BOTAFOGO PRAIA SHOPPING;PESQUISANDO;PRAIA DE BOTAFOGO, 400 8º ANDAR;-22.947678;-43.18409;NÃO
008;RIO DE JANEIRO - CABANA DA SERRA;BR TOWERS (ANTIGA);AVENIDA MENEZES CORTES, 4800;-22.924025;-43.292572;NÃO
009;RIO DE JANEIRO - CORREA DUTRA;BR TOWERS,BR TOWERS (ANTIGA);RUA CORREA DUTRA, 52;-22.927681;-43.175433;NÃO
010;VISCONDE DE INHAUMA;PESQUISANDO;RUA VISCONDE DE INHAUMA, 64 - SALA 503;-22.899253;-43.178619;NÃO
011;RIO DE JANEIRO - VISCONDE DE ALBUQUERQUE;PESQUISANDO;AVENIDA VISCONDE DE ALBUQUERQUE, 492;-22.984576;-43.228697;NÃO
013;RIO DE JANEIRO - PRAÇA MAUÁ;BR TOWERS,BR TOWERS (ANTIGA),CTBC;AVENIDA RIO BRANCO, COBERTURA 1;-22.897206;-43.180175;NÃO
014;PARQUE COLUMBIA;BR TOWERS,BR TOWERS (ANTIGA);RUA SUSSEKIND MENDONÇA, ENTRE 315 E 325;-22.812839;-43.335939;NÃO
016;HOTEL INTERCONTINENTAL;PESQUISANDO;AVENIDA PREFEITO MENDES DE MORAES, 222;-22.998187;-43.25692;NÃO
017;ATALAIA;AMERICAN TOWER;ESTRADA ALARICO DE SOUZA, 580;-22.900689;-43.0777;NÃO
01D;AVENIDA RIO BRANCO 120;PESQUISANDO;AVENIDA RIO BRANCO 120;-22.904281;-43.178036;NÃO
02D;AVENIDA RIO BRANCO 151;PESQUISANDO;AVENIDA RIO BRANCO 151;-22.905617;-43.177339;NÃO
03D;AVENIDA RIO BRANCO 174;PESQUISANDO;AV. RIO BRANCO 174;-22.907914;-43.176742;NÃO
0AA;RIO DE JANEIRO - MOVEL OLIMPICA 1;PESQUISANDO;ESTRADA MARECHAL ALENCASTRO, S/N°;-22.846511;-43.399806;NÃO
0AB;RIO DE JANEIRO - MOVEL OLIMPICA 2;PESQUISANDO;AVENIDA DUQUE DE CAXIAS, S/N°;-22.864572;-43.400231;NÃO
0AC;RIO DE JANEIRO - MOVEL OLIMPICA 3;PESQUISANDO;AVENIDA BRASIL;-22.859692;-43.405822;NÃO
0AD;RIO DE JANEIRO - MOVEL OLIMPICA 4;PESQUISANDO;RUA SALUSTIANO SILVA;-22.852917;-43.400694;NÃO
0AE;MOVEL OLIMPICA 5;PESQUISANDO;RUA VISCONDE ITAPARICA, S/N;-22.869689;-43.406306;NÃO
0AF;RIO DE JANEIRO - MOVEL OLIMPICA 6;PESQUISANDO;RUA SALUSTIANO SILVA;-22.874561;-43.402469;NÃO
0AG;RIO DE JANEIRO - MOVEL OLIMPICA 7;PESQUISANDO;ESTRADA DE GERICINO, S/N°;-22.8581;-43.410917;NÃO
0AH;RIO DE JANEIRO - MOVEL OLIMPICA 8;PESQUISANDO;RUA SALUSTIANO SILVA;-22.849472;-43.405;NÃO
0AI;RIO DE JANEIRO - MOVEL OLIMPICA 9;PESQUISANDO;AVENIDA BRASIL;-22.860528;-43.401722;NÃO
0AJ;MOVEL OLIMPICA 10;PESQUISANDO;RUA SALUSTIANO SILVA, S/N;-22.869308;-43.406639;NÃO
0AK;MOVEL OLIMPICA 11;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AL;MOVEL OLIMPICA 12;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AM;MOVEL OLIMPICA 13;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AN;MOVEL OLIMPICA 14;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AO;MOVEL OLIMPICA 15;PESQUISANDO;SITE EM BUSCA;-22.991389;-43.363056;NÃO
0AP;COW EVENTO VIDE VIDA;PESQUISANDO;ESTRADA DO AÇUDE, 671;-22.966056;-43.282072;NÃO
0AQ;MÓVEL COPA DO MUNDO 02;PESQUISANDO;PORTO MARAVILHA;-22.895675;-43.179414;NÃO
0BF;RIO DE JANEIRO - PRAIA DE BOTAFOGO I - CO SITE;PESQUISANDO;PRAIA DE BOTAFOGO, 501 SALA 702 7º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
0R1;REMOTA TUNEL OURICO 1;PESQUISANDO;FQ98+74W Petrópolis - Cascatinha, Petrópolis - RJ;-22.53177;-43.23466;NÃO
0R3;0R3-VALÃO DO PAPAGAIO ITAOCARA;TELXIUS;VALA VALÃO DO PAPAGAIO - PORTELA;-21.673331;-41.9943;NÃO
0R7;SANTA MARIA MADALENA - FAZENDA AURORA;AMERICAN TOWER;RODOVIA RJ 146, S/N;-21.967742;-42.017722;NÃO
100;RJARS_0001;PESQUISANDO;RUA ALTA DA SERRA DO LESTE, S/N;-23.035306;-44.222417;NÃO
101;POLICIA RODOVIARIA TRES RIOS;PESQUISANDO;BR 040, KM 22, S/N° MOURA BRASIL, TRÊS RIOS, 9, 00 M2;-22.121386;-43.154422;NÃO
102;RJARS_0002;PESQUISANDO;MORRO DA PONTA DA CIDADE, S/N;-23.020861;-44.295806;NÃO
103;RJARS_0003;PESQUISANDO;AVENIDA RAUL POMPÉIA ,97;-23.007417;-44.318306;NÃO
104;RJARS_0004;PESQUISANDO;RUA ALAN KARDEC, S/N;-22.984528;-44.296028;NÃO
105;RJARS_0005;PESQUISANDO;ESTRADA ALTO DA PONTA DA CRUZ, S/N;-22.956583;-44.324583;NÃO
106;RJARS_0006;PESQUISANDO;RUA BOULEVARD MARAZUL, S/N;-22.943639;-44.391611;NÃO
107;RJARS_0007;PESQUISANDO;RUA DA TORRE, S/N;-22.959556;-44.440472;NÃO
108;RJARS_0008;PESQUISANDO;MORRO DA METEOROLOGIA,KM 101;-23.004861;-44.448806;NÃO
109;RJARS_0011;PESQUISANDO;RUA PROJETADA JACUECANGA, S/N;-22.992222;-44.241333;NÃO
10A;S4RJPTS0573;PESQUISANDO;ESTRADA CATOBIRA, 177;-22.399858;-43.137669;NÃO
10B;S4RJPTS0575;PESQUISANDO;RUA DOIS (ANÁPOLIS), S/N - LOTE 22;-22.4169;-43.1545;NÃO
10C;S4RJPTS0590;PESQUISANDO;AVENIDA COUNTRY CLUB, 17;-22.425347;-43.125361;NÃO
10D;S4RJPTS0582;PESQUISANDO;RUA DOUTOR HANS BISTRISCHAN, 149;-22.478;-43.172028;NÃO
10E;S4RJPTS0569;PESQUISANDO;RUA PROFESSOR STROELE, 99;-22.489833;-43.177828;NÃO
10F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE X;PESQUISANDO;PRAIA DE BOTAFOGO, 501 BLOCO A SALA 701 7º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
10G;S4RJPTS0563;PESQUISANDO;RUA MOSELA, 1854;-22.492919;-43.201939;NÃO
10H;S4RJPTS0580;PESQUISANDO;RUA LUIZ BLEZER, 110;-22.511425;-43.204722;NÃO
10I;S4RJPTS0566;PESQUISANDO;RUA SILVA JARDIM, 43;-22.508111;-43.168964;NÃO
10J;S4RJPTS0581;PESQUISANDO;RUA CORONEL VEIGA, 733;-22.525278;-43.192778;NÃO
10K;S4RJPTS0564;PESQUISANDO;RUA HONDURAS, 440;-22.531947;-43.213797;NÃO
10L;S4RJPTS0588;PESQUISANDO;RUA BRIGADEIRO CASTRIOTO, 1962;-22.486717;-43.155028;NÃO
10M;S4RJPTS0570;PESQUISANDO;RUA RICARDO SALVINI, 395;-22.467739;-43.151439;NÃO
10N;S4RJPTS0605;PESQUISANDO;ESTRADA PHILUVIO CERQUEIRA RODRIGUES, S/N;-22.404844;-43.097133;NÃO
10O;S4RJPTS0583;PESQUISANDO;RUA ANTÔNIO DA SILVA LIGEIRO, S/N - LOTE 149;-22.545092;-43.2163;NÃO
10P;S4RJPTS0579;PESQUISANDO;ESTRADA UNIÃO E INDÚSTRIA, 15243;-22.363764;-43.126931;NÃO
10Q;S4RJPTS0584;PESQUISANDO;ESTRADA UNIÃO E INDÚSTRIA, 19078;-22.334592;-43.130822;NÃO
10R;S4RJPTS0598;PESQUISANDO;ESTRADA DO CARANGOLA, 61;-22.434761;-43.171389;NÃO
10S;S4RJPTS0587;PESQUISANDO;ESTRADA MOMBAÇA, 751;-22.422;-43.178542;NÃO
10T;S4RJPTS0591;PESQUISANDO;RUA DAS ACÁCIAS, 630;-22.367983;-43.110097;NÃO
10U;S4RJPTS0586;PESQUISANDO;RODOVIA BR-040, S/N - KM77;-22.494214;-43.223883;NÃO
10V;S4RJPTS0609;PESQUISANDO;ESTRADA PHILUVIO CERQUEIRA RODRIGUES, 1901;-22.395458;-43.127386;NÃO
10W;S4RJPTS0603;PESQUISANDO;RUA JOSÉ TEIXEIRA NUNES, 170;-22.346461;-43.132119;NÃO
10X;S4RJPTS0601;PESQUISANDO;ESTRADA JERÔNIMO FERREIRA ALVES, S/N;-22.392;-43.1497;NÃO
10Y;S4RJPTS0602;PESQUISANDO;ESTRADA DOS PRATES, S/N;-22.375711;-43.118636;NÃO
10Z;S4RJPTS0599;PESQUISANDO;RUA TERESÓPOLIS, S/N;-22.521961;-43.2189;NÃO
113;RIO DE JANEIRO - PRAÇA MAUÁ - CO SITE;PESQUISANDO;AVENIDA RIO BRANCO, 1 COBERTURA;-22.897206;-43.180175;NÃO
11A;S4RJNLP2867;PESQUISANDO;AVENIDA ROBERTO SILVEIRA, 1568;-22.808431;-43.414242;NÃO
11B;S4RJNLP0751;PESQUISANDO;RUA CÂNDIDA, 95;-22.810994;-43.4018;NÃO
11C;S4RJNLP0749;PESQUISANDO;RUA HUMBERTO DE CAMPOS, SN (AO LADO Nº 37);-22.810028;-43.427617;NÃO
11Ç;MSC ZRJO09;PESQUISANDO;RUA, LICINIO CARDOSO, 416;-22.901094;-43.244672;NÃO
11D;S4RJNLP0752;PESQUISANDO;RUA JOÃO PESSOA, 2322;-22.802711;-43.423539;NÃO
11E;S4RJNLP0748;PESQUISANDO;RUA QUINTINO BOCAIÚVA, 77;-22.798397;-43.412086;NÃO
11F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE XI;PESQUISANDO;PRAIA DE BOTAFOGO, 501 SALA 501 5º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
11G;4GRJMRC96891;PESQUISANDO;RUA VAN LERBERGUE , S/N - LOTE 25 QUADRA 12;-22.964883;-42.964453;NÃO
11H;S4RJPTS2831;PESQUISANDO;ESTRADA UNIÃO E INDÚSTRIA, 32666;-22.260375;-43.078153;NÃO
11I;S4RJPTS0610;PESQUISANDO;RUA VEREADOR ARNALDO DE AZEVEDO, 221;-22.520681;-43.169589;NÃO
11J;S4RJPTS0607;PESQUISANDO;ESTRADA SILVEIRA DA MOTA, KM 2;-22.250289;-43.075611;NÃO
11K;S4RJARE0596;PESQUISANDO;BR-040, KM 46,5 - SENTIDO RIO, PRÓXIMO AO PEDÁGIO;-22.276231;-43.125067;NÃO
11L;S4RJPTS0595;PESQUISANDO;RODOVIA BR-040, 50KM;-22.286081;-43.123361;NÃO
11M;4GRJMRC96901;PESQUISANDO;RUA CENTO E DEZESSEIS,  S/N QU507 LOTE 10;-22.968831;-42.915231;NÃO
11N;S4RJPTS0606;PESQUISANDO;RUA ALMIRANTE TAMANDARÉ, 1000;-22.505672;-43.176642;NÃO
11O;S4RJPTS0585;PESQUISANDO;RUA D (VICTOR SANT ANA), 169;-22.461769;-43.226211;NÃO
11P;4GRJQUE98101;PESQUISANDO;RUA PAULO GOMES, 645;-22.701711;-43.56095;NÃO
11Q;VOLTA REDONDA - RJVRD_G1I04  - POP FIBRASIL;PESQUISANDO;RUA MIL E TRINTA, 4;-22.488669;-44.070139;NÃO
11R;RJCHM_0001;PESQUISANDO;RUA MARIA ZUMIRA PINTO, 0;-22.47;-42.651472;NÃO
11S;RJCHM_0002;PESQUISANDO;RUA DORALICE, 0;-22.607528;-42.747583;NÃO
11T;RJCHM_0003;PESQUISANDO;RODOVIA BR 116, 0;-22.517306;-42.694667;NÃO
11U;CABO FRIO - RJCBF_G1I03 - POP FIBRASIL;PESQUISANDO;RUA MANOEL JOSÉ DE CARVALHO,129;-22.892189;-42.0391;NÃO
11V;RIO DAS OSTRAS - RJRIOSG1I03 - POP FIBRASIL;PESQUISANDO;RUA PARANAÍBA, 117;-22.526711;-41.948911;NÃO
11W;RJCHM_0005;PESQUISANDO;RUA FLORIANO PEIXOTO, 631;-22.561194;-42.691333;NÃO
11X;RJCHM_0008;PESQUISANDO;ESTRADA GUAPIAÇU, 0;-22.435111;-42.750889;NÃO
11Y;RJCHM_0009;PESQUISANDO;SITIO PICAPAU AMARELO, S/N;-22.556583;-42.859889;NÃO
11Z;RJCHM_0010;PESQUISANDO;ESTRADA FARAÓ, 0;-22.5165;-42.629222;NÃO
123;RJCPS_0279;PESQUISANDO;ESTRADA NOVA,0;-21.986136;-41.514556;NÃO
12A;4GRJRSD9558;PESQUISANDO;RODOVIA PRESIDENTE DUTRA, KM 325;-22.503475;-42.964453;NÃO
12B;RJCHM_0030;PESQUISANDO;RJ-116, S/N;-22.655411;-42.741189;NÃO
12C;RJMGE_0021;PESQUISANDO;ESTRADA JOÃO CAFÉ FILHO, 0;-22.590583;-43.019;NÃO
12D;RJGUPM0022;PESQUISANDO;RUA TRINTA E SETE, 1472;-22.658583;-43.003444;NÃO
12E;RJIOY_0001;PESQUISANDO;RUA DOZE, 13042;-22.728528;-42.951444;NÃO
12F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE XII;PESQUISANDO;PRAIA DE BOTAFOGO, 501 SALA 601 6º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
12G;RJIOY_0002;PESQUISANDO;RUA DOUTOR LEAL JÚNIOR, 0;-22.756417;-42.893639;NÃO
12H;RJIOY_0003;PESQUISANDO;RUA JOÃO CAETANO, 71;-22.745944;-42.860472;NÃO
12I;RJIOY_0004;PESQUISANDO;RUA CEZARIO RANGEL, 0;-22.728583;-42.822278;NÃO
12J;RJIOY_0005;PESQUISANDO;RUA PRIMO ANTÔNIO NOVAES, S/N;-22.741139;-42.840056;NÃO
12K;RJIOY_0007;PESQUISANDO;RUA JOÃO MORAES, 0;-22.709639;-42.895167;NÃO
12L;RJIOY_0006;PESQUISANDO;RODOVIA AMARAL PEIXOTO, S/N;-22.769944;-42.922222;NÃO
12M;RJIOY_0008;PESQUISANDO;RODOVIA RJ-116, S/N;-22.682139;-42.776667;NÃO
12N;RJIOY_0018;PESQUISANDO;MORRO, 21;-22.661528;-42.820417;NÃO
12O;RJIOY_0020;PESQUISANDO;FAZENDA CENTRO COMERCIAL SANTA ROSA, 1562;-22.734528;-42.80525;NÃO
12P;RJIOY_0024;PESQUISANDO;ESTRADA VEREADOR ANTONIO CICERO, 845;-22.817528;-42.893028;NÃO
12Q;RJIOY_0025;PESQUISANDO;ESTRADA DO PACHECO, 0;-22.833611;-42.787611;NÃO
12R;RJIOY_0059;PESQUISANDO;ESTRADA DOS PICOS, 98;-22.752417;-42.816972;NÃO
12S;RJMGE_0001;PESQUISANDO;RUA RAFAEL COZOLINO, 0;-22.595222;-43.187611;NÃO
12T;RJMGE_0002;PESQUISANDO;PRAÇA 7 DE SETEMBRO, 60;-22.609194;-43.178694;NÃO
12U;RJMGE_0003;PESQUISANDO;RUA NOVE, S/N;-22.622528;-43.176222;NÃO
12V;RJMGE_0004;PESQUISANDO;AVENIDA ROBERTO SILVEIRA, 396;-22.706444;-43.154194;NÃO
12W;RJMGE_0005;PESQUISANDO;RUA MARIA VIAL CAMPOS, 395;-22.615389;-43.161861;NÃO
12X;RJMGE_0006;PESQUISANDO;RODOVIA RIO TERESÓPOLIS, 0;-22.655278;-43.143333;NÃO
12Y;RJMGE_0007;PESQUISANDO;RUA EVALDO LUIZ PEREIRA, 0;-22.663944;-43.120778;NÃO
12Z;RJMGE_0008;PESQUISANDO;RUA DOUTOR DOMINGOS BELUZZI, 74;-22.657;-43.039083;NÃO
13A;RJIRA_0002;PESQUISANDO;RODOVIA BR 356, 0 - KM 1 -;-21.189056;-41.915917;NÃO
13B;RJMGE_0009;PESQUISANDO;RUA JOSÉ MUNIZ DE MELO, 0;-22.660583;-43.023306;NÃO
13C;RJPBI_0002;PESQUISANDO;LADEIRA AMARO JOSÉ DOS SANTOS, 485;-22.613583;-43.715167;NÃO
13D;RJSJM_0001;PESQUISANDO;AVENIDA 8 DE MAIO, 200 -;-22.649556;-42.393306;NÃO
13E;RJSJM_0002;PESQUISANDO;RUA CELSO CARDOSO DE SIQUEIRA, 0 -;-22.464489;-42.306617;NÃO
13F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE XIII;PESQUISANDO;PRAIA DE BOTAFOGO, 501 BLOCO B SALA 502 5º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
13G;RJSJM_0003;PESQUISANDO;ESTRADA DA CAMBUCAES, 27 -;-22.617667;-42.403472;NÃO
13H;RJIRA_0005;PESQUISANDO;RUA JOSE MARIA DOS SANTOS, 0 -;-21.535339;-42.052933;NÃO
13I;RJIRA_0006;PESQUISANDO;RODOVIA DOS INCONFIDENTES, 0 -;-21.176;-42.178008;NÃO
13J;RJIRA_0007;PESQUISANDO;RUA SÃO DOMINGOS, 0 -;-21.461961;-42.316358;NÃO
13K;RJIRA_0008;PESQUISANDO;ESTRADA RAPOSO NATIVIDADE, 0 - KM 01;-21.177161;-42.193594;NÃO
13L;RJIRA_0009;PESQUISANDO;RODOVIA BR356, 0 -;-21.298997;-42.017669;NÃO
13M;RJPBI_0001;PESQUISANDO;RODOVIA PRESIDENTE DUTRA, 0 -;-22.699083;-43.758;NÃO
13N;RJIRA_0001;PESQUISANDO;RUA ORLANDO RAELL, 0 -;-21.20075;-41.881583;NÃO
13O;RJSJM_0004;PESQUISANDO;RODOVIA BR 101, 0 -;-22.557408;-42.354556;NÃO
13P;RJCBU_0001;PESQUISANDO;RODOVIA BR 101, 0 - KM 207;-22.473861;-42.19825;NÃO
13Q;RJCBU_0002;PESQUISANDO;ESTRADA RENATO PERLINGEIRO SALLES, 0 -;-22.474931;-42.071753;NÃO
13R;RJCBU_0003;PESQUISANDO;RODOVIA AMARAL PEIXOTO, 0 -;-22.592231;-41.992989;NÃO
13S;RJCBU_0017;PESQUISANDO;RODOVIA BR 101, 0 - KM 198 -;-22.839661;-42.215817;NÃO
13T;RJMGE_0010;PESQUISANDO;ESTRADA DO PICO, 0;-22.554472;-43.050583;NÃO
13U;RJMGE_0011;PESQUISANDO;ESTRADA RIO TERESÓPOLIS, 1;-22.6155;-43.034111;NÃO
13V;RJMGE_0013;PESQUISANDO;AVENIDA ANTÔNIO RIBEIRO SEABRA, 743;-22.582833;-43.16875;NÃO
13W;RJMGE_0015;PESQUISANDO;FAZENDA SANTA LUCIA, 0;-22.658972;-43.086639;NÃO
13X;RJMGE_0016;PESQUISANDO;ESTRADA VELHA DE MAGÉ, 420;-22.64625;-43.190139;NÃO
13Y;RJMGE_0020;PESQUISANDO;RUA 80, 0;-22.715861;-43.192278;NÃO
13Z;RJMGE_0053;PESQUISANDO;RUA BASTOS TIGRES, 1;-22.594831;-43.113939;NÃO
14A;RJMGB_0001;PESQUISANDO;CONDOMINIO VISTA MAR, S/N;-22.970444;-44.03875;NÃO
14B;RJMGB_0003;PESQUISANDO;RUA 3, S/N;-23.030972;-44.168111;NÃO
14C;RJMGB_0004;PESQUISANDO;RUA RIO DE JANEIRO, 235;-22.924583;-43.947722;NÃO
14D;RJMGB_0005;PESQUISANDO;LOTEAMENTO LOTE 34, 34;-22.922972;-43.902472;NÃO
14E;RJMGB_0006;PESQUISANDO;FAZENDA SANTA MARIA FIGUEIRA, 0;-23.030917;-44.132056;NÃO
14F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE XIV;PESQUISANDO;PRAIA DE BOTAFOGO, 501 BLOCO A SALA 704 7º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
14G;RJMGB_0008;PESQUISANDO;AVENIDA FREI AFONSO J. BRAGA, 831;-22.941861;-44.042;NÃO
14H;RJMGB_0014;PESQUISANDO;RODOVIA RIO SANTOS, 1;-22.950917;-44.076806;NÃO
14I;RJMGB_0018;PESQUISANDO;RUA 5, 0;-22.938972;-44.005889;NÃO
14J;RJMGB_0038;PESQUISANDO;RUA TENENTE VALDEMAR CUSTODIO DA SILVA, 400;-22.9215;-43.938806;NÃO
14K;RJMGB_0037;PESQUISANDO;RUA B, S/N;-22.930889;-43.971806;NÃO
14L;RJMGB_0045;PESQUISANDO;PRAIA BRAVA, 94;-22.950778;-44.017917;NÃO
14M;RJMGB_0031;PESQUISANDO;RUA PUREZA, S/N;-22.953972;-44.023028;NÃO
14N;RJMGB_0034;PESQUISANDO;RUA JOÃO DOCE, S/N;-22.962144;-44.030078;NÃO
14O;RJMRC_0001;PESQUISANDO;RUA ISALTINA FILOMENA SOARES, S/N;-22.967194;-43.008778;NÃO
14P;RJMRC_0025;PESQUISANDO;RUA 2, 0;-22.922333;-42.745889;NÃO
14Q;RJCHM_0006;PESQUISANDO;RODOVIA RJ-116, 4371;-22.424111;-42.638139;NÃO
14R;RJNRI_0001;PESQUISANDO;RUA B, 11;-22.874194;-43.114028;NÃO
14S;RJNRI_0002;PESQUISANDO;RUA SALDANHA MARINHO, 3;-22.887667;-43.124583;NÃO
14T;RJNRI_0059;PESQUISANDO;RUA CORONEL GOMES MACHADO, 144;-22.89275;-43.119944;NÃO
14U;RJNRI_0003;PESQUISANDO;AVENIDA JANSEN DE MELLO, 1044;-22.888611;-43.114611;NÃO
14V;RJNRI_0004;PESQUISANDO;RUA ERNANI DO AMARAL PEIXOTO, 71;-22.893694;-43.122222;NÃO
14W;RJNRI_0005;PESQUISANDO;RUA DOUTOR CELESTINO, 193;-22.895306;-43.113306;NÃO
14X;RJNRI_0006;PESQUISANDO;AVENIDA VISCONDE DE RIO BRANCO, 571;-22.897056;-43.124611;NÃO
14Y;RJNRI_0007;PESQUISANDO;RUA GENERAL ANDRADES NEVES, 317;-22.900472;-43.128028;NÃO
14Z;RJNRI_0008;PESQUISANDO;RUA DOUTOR ALMIR GUIMARAES, 0;-22.903889;-43.1245;NÃO
15A;RJNRI_0010;PESQUISANDO;RUA COREONEL MOREIRA CESAR, 95;-22.904639;-43.113417;NÃO
15B;RJNRI_0011;PESQUISANDO;RUA DOUTOR PAULO CESAR, 43;-22.898972;-43.110861;NÃO
15C;RJNRI_0012;PESQUISANDO;RUA DOUTORPAULO CÉSAR, 326;-22.898389;-43.1035;NÃO
15D;RJNRI_0013;PESQUISANDO;RUA MINISTRO OTAVIANO KELLY, 185;-22.902278;-43.1055;NÃO
15E;RJNRI_0014;PESQUISANDO;RUA GAVIÃO PEIXOTO, 183;-22.904194;-43.109389;NÃO
15F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE XV;PESQUISANDO;PRAIA DE BOTAFOGO, 501 BLOCO A SALA 603 6º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
15G;RJNRI_0015;PESQUISANDO;RUA JOÃO PESSOA, 159;-22.9025;-43.102861;NÃO
15H;RJNRI_0016;PESQUISANDO;RUA DOMINGUES DE SA, 224;-22.904861;-43.105861;NÃO
15I;RJNRI_0017;PESQUISANDO;RUA MOREIRA CESAR, 264;-22.9075;-43.109917;NÃO
15J;RJNRI_0070;PESQUISANDO;ESTRADA LEOPOLDO FROES, 19;-22.912778;-43.109194;NÃO
15K;RJNRI_0018;PESQUISANDO;RUA JOAQUIM TÁVORA, 326;-22.910333;-43.101083;NÃO
15L;RJNRI_0019;PESQUISANDO;RUA SETE DE SETEMBRO, 332;-22.903028;-43.098917;NÃO
15M;RJNRI_0020;PESQUISANDO;RUA MARIZ E BARROS, 24;-22.910333;-43.108778;NÃO
15N;RJNRI_0021;PESQUISANDO;RUA ARARIBÓIA, 140;-22.915861;-43.092389;NÃO
15O;RJNRI_0022;PESQUISANDO;RUA JOAQUIM PEIXOTO, 33-41;-22.927778;-43.0935;NÃO
15P;RJNRI_0023;PESQUISANDO;RUA DOUTOR SALOMÃO VERGUEIRO DA CRUZ, 1286;-22.933833;-43.069639;NÃO
15Q;RJNRI_0024;PESQUISANDO;RUA ÁTILA NUNES, 14;-22.946222;-43.058083;NÃO
15R;RJNRI_0025;PESQUISANDO;AVENIDA SANTO ANTONIO, 60;-22.941778;-43.046917;NÃO
15S;RJNRI_0026;PESQUISANDO;RUA PROFESSOR ROMANDA GONÇALVES, 2656;-22.948111;-43.030556;NÃO
15T;RJNRI_0027;PESQUISANDO;RUA HILÁRIO FERREIRA DE SOUZA, S/N;-22.924611;-43.006833;NÃO
15U;RJNRI_0028;PESQUISANDO;RUA DAS ROSAS, 24;-22.973028;-43.027583;NÃO
15V;RJNRI_0029;PESQUISANDO;RUA 151, S/N;-22.952528;-43.062389;NÃO
15W;RJNRI_0030;PESQUISANDO;RUA ACURSIO TORRES, 0;-22.953833;-43.075583;NÃO
15X;RJNRI_0031;PESQUISANDO;RUA 18, 164;-22.950278;-43.086944;NÃO
15Y;RJNRI_0032;PESQUISANDO;ALAMEDA SAO BOAVENTURA, 897;-22.880944;-43.087556;NÃO
15Z;RJNRI_0033;PESQUISANDO;AVENIDA PROFESSOR JOAO BRASIL, 13;-22.880306;-43.101056;NÃO
16A;RJNRI_0034;PESQUISANDO;RUA GENERAL CASTRIOTO, 102;-22.869306;-43.104028;NÃO
16B;RJNRI_0035;PESQUISANDO;RUA GENERAL CASTRIOTO, 557;-22.859389;-43.101111;NÃO
16C;RJNRI_0036;PESQUISANDO;RUA SANTA MARGARIDA, 0;-22.9035;-43.065667;NÃO
16D;RJNRI_0037;PESQUISANDO;ESTRADA TRONCO NORTE FLUMINENSE, 124;-22.882917;-43.069444;NÃO
16E;RJNRI_0038;PESQUISANDO;ESTRADA ALCEBÍADES PINTO, 40;-22.911361;-43.047917;NÃO
16F;RIO DE JANEIRO - PRAIA DE BOTAFOGO - CO SITE XVI;PESQUISANDO;PRAIA DE BOTAFOGO, 501 BLOCO B SALA 603 6º ANDAR CENTRO EMPRESARIAL MOURISCO;00.0000;00.0000;NÃO
16G;RJNRI_0039;PESQUISANDO;RUA PROFESSOR EDMUNDO MARCH, 2;-22.906;-43.131361;NÃO
16H;RJNRI_0040;PESQUISANDO;ESTRADA CAETANO MONTEIR, 0;-22.8975;-43.039444;NÃO
16I;RJNRI_0041;PESQUISANDO;ESTRADA DA ATALAIA, S/N;-22.897361;-43.076917;NÃO
